run,model,filt,frequency,calib,city,exp,sensor_type,state_var,meas_var,N,case,R,P,Q,id,config,it,comment,mae,ref,comment2
0,tomgro,pf,1,gnvIV,cps,1,A,wm,wm,500,case1,,1.00E-05,0.65,625,3,29,"fixed errors, case controlled, 50%",,p3a,no
0,tomgro,ukf,1,gnvIV,cps,3,A,wm,wm,,case1,,1.00E-05,0.65,626,3,30,"fixed errors, case controlled, 50%",,p3a,used
0,tomgro,enkf,1,gnvIV,cps,3,A,wm,wm,250,case0,,1.00E-05,0.65,627,3,31,"fixed errors, case controlled, 50%",,p3a,extra
0,tomgro,enkf,1,gnvIV,cps,3,A,wm,wm,250,case1,,1.00E-05,0.65,628,3,32,"fixed errors, case controlled, 50%",,p3a,extra
0,tomgro,enkf,1,gnvIV,cps,3,A,wm,wm,250,case2,,1.00E-05,0.65,629,3,33,"fixed errors, case controlled, 50%",,p3a,used
0,tomgro,enkf,1,gnvIV,cps,3,A,wm,wm,250,case3,,1.00E-05,0.65,630,3,34,"fixed errors, case controlled, 50%",,p3a,extra
0,tomgro,pf,1,gnvIV,cps,3,A,wm,wm,500,case1,,1.00E-05,0.65,631,3,35,"fixed errors, case controlled, 50%",,p3a,no
0,tomgro,ukf,1,gnvIV,cps,5,A,wm,wm,,case1,,1.00E-05,0.65,632,3,36,"fixed errors, case controlled, 50%",,p3a,used
0,tomgro,enkf,1,gnvIV,cps,5,A,wm,wm,250,case0,,1.00E-05,0.65,633,3,37,"fixed errors, case controlled, 50%",,p3a,extra
0,tomgro,enkf,1,gnvIV,cps,5,A,wm,wm,250,case1,,1.00E-05,0.65,634,3,38,"fixed errors, case controlled, 50%",,p3a,extra
0,tomgro,enkf,1,gnvIV,cps,5,A,wm,wm,250,case2,,1.00E-05,0.65,635,3,39,"fixed errors, case controlled, 50%",,p3a,used
0,tomgro,enkf,1,gnvIV,cps,5,A,wm,wm,250,case3,,1.00E-05,0.65,636,3,40,"fixed errors, case controlled, 50%",,p3a,extra
0,tomgro,pf,1,gnvIV,cps,5,A,wm,wm,500,case1,,1.00E-05,0.65,637,3,41,"fixed errors, case controlled, 50%",,p3a,no
0,tomgro,ukf,1,gnvIV,cps,7,A,wm,wm,,case1,,1.00E-05,0.65,638,3,42,"fixed errors, case controlled, 50%",,p3a,used
0,tomgro,enkf,1,gnvIV,cps,7,A,wm,wm,250,case0,,1.00E-05,0.65,639,3,43,"fixed errors, case controlled, 50%",,p3a,extra
0,tomgro,enkf,1,gnvIV,cps,7,A,wm,wm,250,case1,,1.00E-05,0.65,640,3,44,"fixed errors, case controlled, 50%",,p3a,extra
0,tomgro,enkf,1,gnvIV,cps,7,A,wm,wm,250,case2,,1.00E-05,0.65,641,3,45,"fixed errors, case controlled, 50%",,p3a,used
0,tomgro,enkf,1,gnvIV,cps,7,A,wm,wm,250,case3,,1.00E-05,0.65,642,3,46,"fixed errors, case controlled, 50%",,p3a,extra
0,tomgro,pf,1,gnvIV,cps,7,A,wm,wm,500,case1,,1.00E-05,0.65,643,3,47,"fixed errors, case controlled, 50%",,p3a,no
0,tomgro,ukf,1,gnvIV,cps,1,A,wf,wf,,case1,,1.00E-05,,644,4,0,"variable model error, case controlled, 10%",,p3a,no
0,tomgro,enkf,1,gnvIV,cps,1,A,wf,wf,250,case0,,1.00E-05,,645,4,1,"variable model error, case controlled, 10%",,p3a,no
0,tomgro,enkf,1,gnvIV,cps,1,A,wf,wf,250,case1,,1.00E-05,,646,4,2,"variable model error, case controlled, 10%",,p3a,no
0,tomgro,enkf,1,gnvIV,cps,1,A,wf,wf,250,case2,,1.00E-05,,647,4,3,"variable model error, case controlled, 10%",,p3a,no
0,tomgro,enkf,1,gnvIV,cps,1,A,wf,wf,250,case3,,1.00E-05,,648,4,4,"variable model error, case controlled, 10%",,p3a,no
0,tomgro,pf,1,gnvIV,cps,1,A,wf,wf,500,case1,,1.00E-05,,649,4,5,"variable model error, case controlled, 10%",,p3a,no
0,tomgro,ukf,1,gnvIV,cps,3,A,wf,wf,,case1,,1.00E-05,,650,4,6,"variable model error, case controlled, 10%",,p3a,used
0,tomgro,enkf,1,gnvIV,cps,3,A,wf,wf,250,case0,,1.00E-05,,651,4,7,"variable model error, case controlled, 10%",,p3a,extra
0,tomgro,enkf,1,gnvIV,cps,3,A,wf,wf,250,case1,,1.00E-05,,652,4,8,"variable model error, case controlled, 10%",,p3a,extra
0,tomgro,enkf,1,gnvIV,cps,3,A,wf,wf,250,case2,,1.00E-05,,653,4,9,"variable model error, case controlled, 10%",,p3a,used
0,tomgro,enkf,1,gnvIV,cps,3,A,wf,wf,250,case3,,1.00E-05,,654,4,10,"variable model error, case controlled, 10%",,p3a,extra
0,tomgro,pf,1,gnvIV,cps,3,A,wf,wf,500,case1,,1.00E-05,,655,4,11,"variable model error, case controlled, 10%",,p3a,no
0,tomgro,ukf,1,gnvIV,cps,5,A,wf,wf,,case1,,1.00E-05,,656,4,12,"variable model error, case controlled, 10%",,p3a,used
0,tomgro,enkf,1,gnvIV,cps,5,A,wf,wf,250,case0,,1.00E-05,,657,4,13,"variable model error, case controlled, 10%",,p3a,extra
0,tomgro,enkf,1,gnvIV,cps,5,A,wf,wf,250,case1,,1.00E-05,,658,4,14,"variable model error, case controlled, 10%",,p3a,extra
0,tomgro,enkf,1,gnvIV,cps,5,A,wf,wf,250,case2,,1.00E-05,,659,4,15,"variable model error, case controlled, 10%",,p3a,used
0,tomgro,enkf,1,gnvIV,cps,5,A,wf,wf,250,case3,,1.00E-05,,660,4,16,"variable model error, case controlled, 10%",,p3a,extra
0,tomgro,pf,1,gnvIV,cps,5,A,wf,wf,500,case1,,1.00E-05,,661,4,17,"variable model error, case controlled, 10%",,p3a,no
0,tomgro,ukf,1,gnvIV,cps,7,A,wf,wf,,case1,,1.00E-05,,662,4,18,"variable model error, case controlled, 10%",,p3a,used
0,tomgro,enkf,1,gnvIV,cps,7,A,wf,wf,250,case0,,1.00E-05,,663,4,19,"variable model error, case controlled, 10%",,p3a,extra
0,tomgro,enkf,1,gnvIV,cps,7,A,wf,wf,250,case1,,1.00E-05,,664,4,20,"variable model error, case controlled, 10%",,p3a,extra
0,tomgro,enkf,1,gnvIV,cps,7,A,wf,wf,250,case2,,1.00E-05,,665,4,21,"variable model error, case controlled, 10%",,p3a,used
0,tomgro,enkf,1,gnvIV,cps,7,A,wf,wf,250,case3,,1.00E-05,,666,4,22,"variable model error, case controlled, 10%",,p3a,extra
0,tomgro,pf,1,gnvIV,cps,7,A,wf,wf,500,case1,,1.00E-05,,667,4,23,"variable model error, case controlled, 10%",,p3a,no
0,tomgro,ukf,1,gnvIV,cps,1,A,wm,wm,,case1,,1.00E-05,,668,4,24,"variable model error, case controlled, 10%",,p3a,no
0,tomgro,enkf,1,gnvIV,cps,1,A,wm,wm,250,case0,,1.00E-05,,669,4,25,"variable model error, case controlled, 10%",,p3a,no
0,tomgro,enkf,1,gnvIV,cps,1,A,wm,wm,250,case1,,1.00E-05,,670,4,26,"variable model error, case controlled, 10%",,p3a,no
0,tomgro,enkf,1,gnvIV,cps,1,A,wm,wm,250,case2,,1.00E-05,,671,4,27,"variable model error, case controlled, 10%",,p3a,no
0,tomgro,enkf,1,gnvIV,cps,1,A,wm,wm,250,case3,,1.00E-05,,672,4,28,"variable model error, case controlled, 10%",,p3a,no
0,tomgro,pf,1,gnvIV,cps,1,A,wm,wm,500,case1,,1.00E-05,,673,4,29,"variable model error, case controlled, 10%",,p3a,no
0,tomgro,ukf,1,gnvIV,cps,3,A,wm,wm,,case1,,1.00E-05,,674,4,30,"variable model error, case controlled, 10%",,p3a,used
0,tomgro,enkf,1,gnvIV,cps,3,A,wm,wm,250,case0,,1.00E-05,,675,4,31,"variable model error, case controlled, 10%",,p3a,extra
0,tomgro,enkf,1,gnvIV,cps,3,A,wm,wm,250,case1,,1.00E-05,,676,4,32,"variable model error, case controlled, 10%",,p3a,extra
0,tomgro,enkf,1,gnvIV,cps,3,A,wm,wm,250,case2,,1.00E-05,,677,4,33,"variable model error, case controlled, 10%",,p3a,used
