run,model,filt,frequency,calib,city,exp,sensor_type,state_var,meas_var,N,case,R,P,Q,id,config,it,comment,mae
1,tomgro,ukf,0.5,gnvMod,cps,4,A,lai,lai_abv,NA,case1,,0.000001,0.15,92,8,1,0.988148935,0.15
1,tomgro,ukf,0.5,gnvMod,cps,5,A,lai,lai_abv,NA,case1,,0.000001,0.96,93,8,1,0.596529036,0.96
1,tomgro,ukf,0.5,gnvMod,cps,6,A,lai,lai_abv,NA,case1,,0.000001,0.96,94,8,1,0.596529036,0.96
1,tomgro,ukf,0.5,gnvMod,cps,7,A,lai,lai_abv,NA,case1,,0.000001,1.3,95,8,1,0.920890167,1.3
1,tomgro,ukf,0.5,gnvMod,cps,8,A,lai,lai_abv,NA,case1,,0.000001,1.3,96,8,1,0.920890167,1.3
1,tomgro,ukf,0.1,gnvMod,cps,3,A,wf,wf_lat,NA,case1,,0.000001,11,97,9,0,0.062191155,11
1,tomgro,ukf,0.1,gnvMod,cps,4,A,wf,wf_lat,NA,case1,,0.000001,11,98,9,1,0.062191155,11
1,tomgro,ukf,0.1,gnvMod,cps,5,A,wf,wf_lat,NA,case1,,0.000001,24,99,9,1,0.083996048,24
1,tomgro,ukf,0.1,gnvMod,cps,6,A,wf,wf_lat,NA,case1,,0.000001,24,100,9,1,0.083996048,24
1,tomgro,ukf,0.1,gnvMod,cps,7,A,wf,wf_lat,NA,case1,,0.000001,62,101,9,1,0.251752311,62
1,tomgro,ukf,0.1,gnvMod,cps,8,A,wf,wf_lat,NA,case1,,0.000001,62,102,9,1,0.251752311,62
1,tomgro,ukf,0.1,gnvMod,cps,3,A,w,w_fm_full,NA,case1,,0.000001,20,103,10,0,0.395089642,20
1,tomgro,ukf,0.1,gnvMod,cps,4,A,w,w_fm_full,NA,case1,,0.000001,20,104,10,1,0.395089642,20
1,tomgro,ukf,0.1,gnvMod,cps,5,A,w,w_fm_full,NA,case1,,0.000001,122,105,10,1,0.338876269,122
